exp_id,seed,label_cn,group_cn,status,started_at,device,manifest,run_prefix,teacher_from,teacher_checkpoint,completed_at,run_root,prediction_overview,prediction_figures_dir
B1,2026,车辆 + 连续风格,基准,completed,2026-05-20 14:41:48,cuda,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_processed_datasets/stage03_v05_server_aligned_subject_oldflow_fair09/tables/oldflow_fair09_vehicle_only_server_aligned_v05_subject_split_manifest.csv,V05P_B1_2026,nan,nan,2026-05-20 14:43:35,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_B1_2026_20260520_144148,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_B1_2026_20260520_144148/prediction_figures/test/overview.png,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_B1_2026_20260520_144148/prediction_figures/test
S2,2026,车辆 + 皮电,单信号,completed,2026-05-20 14:41:48,cuda,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_processed_datasets/stage03_v05_server_aligned_subject_oldflow_fair09/tables/oldflow_fair09_vehicle_only_server_aligned_v05_subject_split_manifest.csv,V05P_S2_2026,nan,nan,2026-05-20 14:44:17,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S2_2026_20260520_144148,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S2_2026_20260520_144148/prediction_figures/test/overview.png,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S2_2026_20260520_144148/prediction_figures/test
S3,2026,车辆 + 肌电,单信号,completed,2026-05-20 14:41:48,cuda,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_processed_datasets/stage03_v05_server_aligned_subject_oldflow_fair09/tables/oldflow_fair09_vehicle_only_server_aligned_v05_subject_split_manifest.csv,V05P_S3_2026,nan,nan,2026-05-20 14:44:32,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S3_2026_20260520_144148,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S3_2026_20260520_144148/prediction_figures/test/overview.png,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S3_2026_20260520_144148/prediction_figures/test
S1,2026,车辆 + 心率,单信号,completed,2026-05-20 14:41:48,cuda,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_processed_datasets/stage03_v05_server_aligned_subject_oldflow_fair09/tables/oldflow_fair09_vehicle_only_server_aligned_v05_subject_split_manifest.csv,V05P_S1_2026,nan,nan,2026-05-20 14:44:31,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S1_2026_20260520_144148,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S1_2026_20260520_144148/prediction_figures/test/overview.png,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_S1_2026_20260520_144148/prediction_figures/test
A1,2026,车辆 + 连续风格 + 肌电 + 响应类型辅助,响应类型辅助,completed,2026-05-20 14:48:44,cuda,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_processed_datasets/stage03_v05_server_aligned_subject_oldflow_fair09/tables/oldflow_fair09_vehicle_only_server_aligned_v05_subject_split_manifest.csv,V05P_A1_2026,nan,nan,2026-05-20 14:52:05,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_A1_2026_20260520_144844,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_A1_2026_20260520_144844/prediction_figures/test/overview.png,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_A1_2026_20260520_144844/prediction_figures/test
SF2,2026,车辆 + 连续风格 + 皮电,单信号+风格,completed,2026-05-20 14:48:44,cuda,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_processed_datasets/stage03_v05_server_aligned_subject_oldflow_fair09/tables/oldflow_fair09_vehicle_only_server_aligned_v05_subject_split_manifest.csv,V05P_SF2_2026,nan,nan,2026-05-20 14:52:01,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF2_2026_20260520_144844,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF2_2026_20260520_144844/prediction_figures/test/overview.png,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF2_2026_20260520_144844/prediction_figures/test
SF3,2026,车辆 + 连续风格 + 肌电,单信号+风格,completed,2026-05-20 14:48:44,cuda,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_processed_datasets/stage03_v05_server_aligned_subject_oldflow_fair09/tables/oldflow_fair09_vehicle_only_server_aligned_v05_subject_split_manifest.csv,V05P_SF3_2026,nan,nan,2026-05-20 14:52:06,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF3_2026_20260520_144844,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF3_2026_20260520_144844/prediction_figures/test/overview.png,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF3_2026_20260520_144844/prediction_figures/test
C1,2026,车辆 + 心率 + 皮电 + 肌电,组合,completed,2026-05-20 14:48:44,cuda,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_processed_datasets/stage03_v05_server_aligned_subject_oldflow_fair09/tables/oldflow_fair09_vehicle_only_server_aligned_v05_subject_split_manifest.csv,V05P_C1_2026,nan,nan,2026-05-20 14:52:05,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_C1_2026_20260520_144844,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_C1_2026_20260520_144844/prediction_figures/test/overview.png,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_C1_2026_20260520_144844/prediction_figures/test
SF1,2026,车辆 + 连续风格 + 心率,单信号+风格,completed,2026-05-20 14:48:44,cuda,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_processed_datasets/stage03_v05_server_aligned_subject_oldflow_fair09/tables/oldflow_fair09_vehicle_only_server_aligned_v05_subject_split_manifest.csv,V05P_SF1_2026,nan,nan,2026-05-20 14:52:02,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF1_2026_20260520_144844,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF1_2026_20260520_144844/prediction_figures/test/overview.png,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_SF1_2026_20260520_144844/prediction_figures/test
C2,2026,车辆 + 连续风格 + 心率 + 皮电 + 肌电,组合,completed,2026-05-20 14:48:44,cuda,/root/autodl-tmp/data_process/05_rebuild_from_raw_20260511/03_processed_datasets/stage03_v05_server_aligned_subject_oldflow_fair09/tables/oldflow_fair09_vehicle_only_server_aligned_v05_subject_split_manifest.csv,V05P_C2_2026,nan,nan,2026-05-20 14:52:06,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_C2_2026_20260520_144844,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_C2_2026_20260520_144844/prediction_figures/test/overview.png,/root/autodl-tmp/data_process/tmp/event_conditioned_runs/V05P_C2_2026_20260520_144844/prediction_figures/test
